1,2
2,1
3,1
4,3
5,1
6,2
7,1
8,1
9,1
10,1
11,2
12,4
13,7
14,1
15,1
16,30
17,1
18,2
19,103
20,2
21,(1st CK)
22,2
23,6
24,1
25,2
26,4
27,1
28,2
29,1
30,1
31,2
32,3
33,1
34,(2nd CK)
35,2
36,86
37,1
38,1
39,5
40,1
41,2
42,1
43,5
44,1
45,2
46,4
47,1
48,1
49,1
50,5
51,4
52,1
53,15
54,1
55,1
56,12
57,1
58,2
59,1
60,16
61,16
62,2
63,2
64,1
65,1
66,20
67,12
68,1
69,1
70,4
71,2
72,1
73,1
74,311
75,1
76,(3rd CK)
77,1
78,6
79,9
80,3
81,102
82,9
83,1
84,5
85,1
86,2
87,7
88,2
89,(4th CK)
